run_id,timestamp,sharpe_ratio,sortino_ratio,max_drawdown,total_return,win_rate,profit_factor,total_trades,avg_trade_pnl,combination_ir,is_promising,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,test_total_return,test_win_rate,test_total_trades,test_profit_factor,momentum_windows,mean_reversion_ma_periods,funding_extreme_threshold,bb_period,bb_std,rsi_period,volume_ma_period,cross_coin_lead_window,combination_min_history,regression_lookback,vol_lookback,rebalance_interval,kelly_fraction,max_fraction,min_edge,position_sizing,fixed_fraction,stop_loss_pct,take_profit_pct,max_leverage,IC_momentum,IC_mean_reversion,IC_funding_rate,IC_volatility_breakout,IC_rsi_divergence,IC_volume_imbalance,IC_bb_width,IC_funding_acceleration,IC_cross_coin
21,2026-04-10T16:14:53.720597,-2.7181296067002365,nan,0.02498362656651483,-0.020369069001509255,0.47580645161290325,0.6992838328693317,248,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[10, 30]",0.0017127376567352196,14,2.816301342390067,8,26,5,40,19,61,12,0.5803147204820858,0.19610777128137918,0.015737750721330913,fixed,0.1405162195302015,0.035378128518090135,0.09424116096028824,4.6487346221193055,-0.14472589029634542,0.13970057000661268,0.03330201184941911,-0.08710597008988037,0.1266967520215129,-0.020985640741004823,-0.1094750654477762,-0.000663035103641161,-0.0017262032177859888
22,2026-04-10T16:14:58.920355,-0.8255498180338937,nan,0.0043035608266526,-0.0012401597331903602,0.3333333333333333,0.7239211873950945,24,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 5, 10, 20]","[20, 50]",0.0014029998031261693,27,2.5579293574843662,7,20,4,9,39,39,7,0.8277604990447971,0.162299289897283,0.08460899682823528,fixed,0.061284063928170124,0.04814068331064049,0.06755012748914069,4.278593545927546,-0.12266354220483186,0.12475878092566077,0.12213339975463447,-0.007054933571019784,0.19290515605075584,-0.021553337311361633,-0.1280285634184472,-0.015495033342407177,0.04976918153493728
23,2026-04-10T16:15:02.794169,1.399211348418184,nan,0.0023167297193108075,0.001325294687519074,0.518796992481203,1.383112600420524,133,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 3, 7, 14, 30]","[20, 40, 60]",0.002,15,2.448336055602003,17,20,10,40,40,67,10,0.4143902260720675,0.05,0.049885185003887264,fixed,0.02,0.03494484342437747,0.06736736016471243,4.092910839042314,-0.015776039550203173,0.0434873458751499,0.07094245083078471,0.011995141714768662,0.1667029534146252,-0.04070411649449137,0.0015613883015410843,0.03159590606482113,-0.007767102336517397
24,2026-04-10T16:15:37.576972,0.34458699810311666,nan,0.021879470012145835,0.004803506893129361,0.4642857142857143,1.1779792685199462,560,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 2, 5, 10, 20, 30]","[10, 20]",0.0016009806965737495,28,2.8244956467728586,16,33,1,40,39,59,1,0.8075619485886139,0.33449588314565015,0.052081813638999865,fixed,0.24878339380396844,0.05144706790866878,0.04021836193045265,3.788444969693118,-0.020369413809599196,0.016712548743498416,-0.005996869816680217,-0.03198607618854088,0.019630488838051074,0.0025948344106653887,-0.036018900020180426,-0.020228785284630204,0.010651228248962804
25,2026-04-10T16:15:43.624894,-1.4592136919539276,nan,0.02511177754286798,-0.014978509429967812,0.42788461538461536,0.8309424283652916,416,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[30, 60]",0.001102645503126074,21,1.8562922039389824,19,38,5,19,24,94,6,0.2365636973436186,0.3474641244971226,0.005,fixed,0.14743786234205142,0.0555372150318619,0.07819899661876117,2.873702784330482,-0.0431960690900329,0.005446156364436844,0.028199575643903015,-0.018363261601257272,0.06270195931792633,-0.026991587141976074,-0.020386170761242613,-0.0041400679973205646,0.11513503479774086
26,2026-04-10T16:15:47.392095,0.12809901267709378,nan,0.0091944911646449,0.0003635434961088979,0.5508474576271186,1.083497904041653,118,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 3, 7, 14, 30]","[20, 50]",0.0019411125765950933,22,2.4939718650510785,15,22,9,35,40,73,10,0.43261897460286625,0.0681093325501254,0.04133969625955547,fixed,0.0694069280573664,0.04946219560041007,0.11264405970589383,4.874384128589696,-0.015776039550203173,0.03799356953744793,0.07094245083078471,-0.08767808158652318,0.16819437230905995,-0.0421929493963122,-0.0018519586672511436,0.03159590606482113,0.07496605728145893
27,2026-04-10T16:15:50.658973,-2.4827558302783848,nan,0.003722385325183898,-0.0028154811719888206,0.4835680751173709,0.7345394729603383,213,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 3, 7, 14, 30]","[20, 40, 60]",0.0018216068197533482,17,2.6640142772460758,14,26,7,33,38,68,12,0.30290066023523193,0.11959839074216601,0.02176748866759361,fixed,0.02,0.04307792508532075,0.0729370842839642,4.006324045935087,-0.08476514647835708,0.17417346393088282,0.03330201184941911,-0.07088414774378667,0.12582057167417296,-0.020985640741004823,-0.12761204415352448,-0.000663035103641161,0.0668519963974386
28,2026-04-10T16:15:55.886440,0.295741001191038,nan,0.02262377055284148,0.003136692726704693,0.4692737430167598,1.0963498801350215,358,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[10, 20]",0.0013323033653063656,15,1.5,17,31,7,27,13,78,7,0.24707946885965604,0.18117423747476463,0.015600777289970669,fixed,0.1657555597098978,0.04627306421320697,0.07476137218865712,3.198782624537725,-0.19512233144939806,0.0568168395153244,0.12213339975463447,0.010025577220590363,0.19591627525972194,-0.017497697203632548,-0.07249546730394942,-0.015495033342407177,0.06680055379646399
29,2026-04-10T16:16:00.001437,1.7872791009904085,nan,0.0014566006109070604,0.0022856541114268936,0.5428571428571428,1.655699500552908,70,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[10, 20]",0.0017362224689689311,18,2.4850856082113744,17,22,11,40,40,70,9,0.5619195116098445,0.110315235382728,0.06679111328778145,fixed,0.02731716427857397,0.026367695182174276,0.0897948058797235,3.2933194507520698,-0.012668446527646236,-0.033276719778684204,0.10772373143079463,0.03567373232285332,0.076556513859015,-0.05352623776750128,0.02577204730140444,0.052400614048647376,0.10607026285972126
30,2026-04-10T16:16:03.440471,0.8294078826577771,nan,0.00466436349785218,0.002181842769697795,0.5384615384615384,1.2136234642153367,104,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[10, 20]",0.002,18,2.27916731757666,15,19,12,40,34,57,11,0.6602882372920507,0.08950825532216863,0.051400157090201126,fixed,0.055202926076070996,0.032322022552989896,0.08372780509402505,3.542066778609229,0.03131977237018476,0.019634808448220287,-0.007723761065427903,-0.08511484270345859,-0.03020945528719494,-0.03337130787445204,-0.004340794683134788,-0.01983726821094464,0.01553481264476948
